,Tweet_lemmatized
0,Ungeimpft ung Simon Tanzverbot Haider Dankemerkel Bergfest Methmonday Deutschland Hodenkrebs Micropenis
1,letzter Tag Merkel Amt treten Jahr alt Deutschland Merkel kennen viele A
2,endlich mal Statement Mehrheit Bürgerinnen Bürger sofort unterschreiben Dankemerkel Dankeeu Dankeeuro
3,Friedrichmerz erst dreggisch Haus verlassen uffresch niemand sauber machen Dankemerkel
4,Vorstellung regierend Unterstützer Halt alternativlos existieren Raum mehr Diskussion Dankemerkel
5,Wut verbieten Diktatur Sklavenstaat Gutmenschenterror Dankemerkel schön Wochenende mehr danken
6,Putin wegen verdammen Abhängigkeit russisch Energieträger Dankeschröder Dankemerkel
7,Afd schon Energiewende dafür verantwortlich machen Dankemerkel
8,Dankemerkel
9,mehr Assi aufnehmen sein gut Dankemerkel
10,nennen gut weitsichtig Arbeit Dankemerkel vermissen
11,greens Cdu Csu Land Vetternwirtschaft Korruption Postenschacherei Wand Gefahr Niemehrcdu Dankemerkel
12,dankbar Mensch Deutschland benutzen hashtags Dankeheidi Dankemerkel
13,Dankemerkel
14,gerne ausprobieren Dankemerkel
15,sagen mal Herr Honorarprofessor Harbarth untergegangen Senat Dankemerkel Wahndemie Gplus
16,Ltquerdenker modegtjetzt schreiben Wind sogar schon wann Haus verlassen Tun dürfen Dankemer
17,Fake Dankemerkel
18,sollen Kind wegen bissch Wind Schule Erwachsene sollen morgen lieber Arbeit fahren lassen Orkandiktatur Freiheit nehmen morgen orkandemo Orkandiktatur Dankemerkel Freiheit Anorkanodermitorkan Orkanlüge
19,Retter Friedrichmerz Dankemerkel dr Angela halbieren Jahr d Zustimmung Z Union
20,best Of Angela Merkel Rezo Reved reagieren via Dankemerkel
21,Ltquerdenker modegtjetzt schreiben Wind sogar schon wann Haus verlassen Tun dürfen Dankemerkelltgt
22,Dankemerkel
23,Fake Dankemerkel
24,Dywand Dankemerkel Dankeampel
25,Wrdl Ka Bdi Koeln Bund Stiftung bisher geben leider nix zurück merken schmal Arbeitseinkommen kaum Monat reichen Dankemerkel Dankecdu Dankekartellparteien
26,dafür Geld Dankemerkel
27,Fake Dankemerkel
28,Bverfg fertig Dankemerkel Harbarth
29,Fake Dankemerkel
30,Fake Dankemerkel
31,Dankemerkel
32,ja kommen Araba einfach komisch angucken tun Dankemerkel
33,Boykottfaz Dankemerkel
34,Lichtenrade nachdem ja September Impfung sterben sagen Leben Tod genauso gut
35,nachdem ja September Impfung sterben sagen Leben Tod genauso Beschissen davor Dankemerkel
36,Dankemerkel
37,Opfer bringen dankts Dankemerkel
38,traurig heute leider mehr Dankewendler Dankemerkel Wendler
39,Dankemerkel Спасибомеркель
40,Dankemerkel Спасибомеркель
41,Dankemerkel Спасибомеркель
42,Merz Söder kassieren fett Standpauke Dankemerkel Bundesversammlung
43,schön Merkel mal wiedersehen Dankemerkel
44,Dankemerkel Спасибомеркель
45,Dankemerkel Спасибомеркель
46,Dankemerkel Спасибомеркель
47,Dankemerkel Спасибомеркель
48,Dankemerkel Спасибомеркель
49,Dankemerkel Спасибомеркель
50,Dankemerkel Спасибомеркель
51,Dankemerkel Спасибомеркель
52,Schöder Agenda loben Auswirkung Wirtschaftsförderung feieren Dankeme
53,Dankemerkel Спасибомеркель
54,Dankemerkel Спасибомеркель
55,Dankemerkel Спасибомеркель
56,Schöder Agenda loben Auswirkung Wirtschaftsförderung feieren Dankemerkel problemlos voll schöpfen können Eu peilen konstant Inflation Beifall Msm komplett Arsch
57,Suelze Dankemerkel
58,Pazderski Dankemerkel Fckafd Nazisraus
59,eben lesen Angela Merkel öffentlich Sicherheit Deutschland zerstören Bundesrepublik Plünderung freigeben denken gut Indiz ausgewogen Bubble Dankemerkel
60,pr Impfung Currywurst Bier selber bezahlen überall Verarscht darüber Schweigen
61,parteiübergreifend Signal senden gut Tag nochmal danken sagen vielen draußen Tag f
62,parteiübergreifend Signal senden gut Tag nochmal danken sagen vielen draußen Tag Staat Gesellschaft Amp wirtschaftlich Entwicklung Wohlstand Arbeit Bundesversammlung Dankemerkel Demokratie Bundespräsident
63,Friedrichmerz halten nötig Merkel appaudieren Bundenpräsident Bundesversammlung Dankemerkel
64,Dankemerkel
65,tja dafür Dankemerkel
66,hm wahrscheinlich geben Cdu Ära Merkel sehen Fall aktuell ach vermissen Kanzler mal Unbeliebte Entscheidung treffen Schutz Einzelnendankemerkel Prienruecktritt
67,Grad rechtlich Problem Xanny Plan Release haltbar Siewollenunsuntenhalten Dankemerkel Treehugrecords
68,pr Impfung Currywurst Bier selber bezahlen überall Verarscht darüber Schweigen
69,pr Impfung Currywurst Bier selber bezahlen überall Verarscht darüber Schweigen Dankemerkel Dankekarlfürnicht
