,Tweet
0,@Psychosengast #ungeimpft #unge #simon #tanzverbot #haider #dankemerkel #bergfest #methmonday #deutschland #hodenkrebs #micropenis
1,"RT @Marieclnrck: Letzter Tag mit Merkel. Als sie ins Amt trat, war ich 8 Jahre alt.. Ein Deutschland vor Merkel kenne ich also, wie viele a…"
2,"@53raver @HetzelPetra Endlich mal ein Statement, das die Mehrheit der Bürgerinnen und Bürger sofort unterschreiben würden.

#DankeMerkel
#DankeEU
#DankeEuro https://t.co/W46fVeAFLf"
3,"@_FriedrichMerz Erst das dreggische Haus verlassen und dann uffresche, das niemand sauber gemacht hat… #dankeMerkel"
4,Die Vorstellungen der Regierenden und ihrer Unterstützer sind halt #alternativlos. Da existiert kein Raum mehr für Diskussionen. #DankeMerkel https://t.co/C9RUC7dZuA
5,"@xs2motherof2 Sie wollen mir meine Wut verbieten⁉️ 🤬

Diktatur, Sklavenstaat, Gutmenschenterror, #DankeMerkel!1!!111  

(Ihnen auch ein schönes Wochenende noch, oder mehr 😉, danke! 🙂)"
6,"Putin kann machen, was er will. Wegen dieser verdammten Abhängigkeit von russischen Energieträgern #dankeSchröder #dankeMerkel https://t.co/1Jwxw9fw3r"
7,@WDRaktuell Hat die AfD schon die Energiewende dafür verantwortlich gemacht? #DankeMerkel
8,@KevinKhnert1 #dankeMerkel
9,@RitaYaeli Nicht mehr jeden Assi hier aufzunehmen wäre besser #dankemerkel
10,@jreichelt Das nennt man gute und weitsichtige Arbeit. Wir werden #DankeMerkel noch vermissen
11,"@Watch_Greens Das #CDU und #CSU dieses Land durch Vetternwirtschaft, Korruption und Postenschacherei an die Wand gefahren haben! #NieMehrCDU #dankeMerkel"
12,die dankbarstem menschen im deutschland benutzten die hashtags #dankeheidi #dankemerkel
13,@PolizeiSachsen #dankemerkel
14,"@grossmanis Würde es gerne ausprobieren, aber ich hab noch 100%. #DankeMerkel"
15,@FrankfurtZack Das sagen wir mal dem Herrn Honorarprofessor #Harbarth vom untergegangenen 1. Senat des @BVerfG. #dankemerkel #Wahndemie #2gplus und noch ein +
