,Tweet_lemmatized
0,Markus Ahnung heißen Haintz u verbreitet Lüge Haltdiefresse
1,Haltdiefresse
2,Wiebe Haltdiefresse russentroll
3,Lauterbach Haltdiefresse
4,Ratzinger Haltdiefresse Querfurzer Querdenkersindterroristen Diemaskebleibtauf Maskenpflicht Pandemie
5,Haltdiefresse
6,Haltdiefresse
7,K Haltdiefresse Schwurbelab
8,Haltdiefresse verlogen Kriegstreiber
9,Haltdiefresse
10,sags schon Mam morgen Haltdiefresse Linda Eric Ibes
11,Haltdiefresse Schmarotzer Heuchler
12,Haltdiefresse
13,Bürgerinnen rechtlich Schutz nötigen Gequirlte Braune Scheiße ertragen korrupt Organ Union versuchen Ideologie aufzwingen Irgendwer Handeln Täter staatlich entfernen Haltdiefresse
14,wohl eher Bocca della Menzogna Haltdiefresse Covidiot
15,neigen fresch sein froh Haltdiefresse
16,Dimi s Haltdiefresse checken wollen erzwungen Abkommen Gültigkeit zuvor frei Partei getroffen Abkommen verstoßen genau tun minsk Abkommen russentroll
17,Kritiker Haltdiefresse typisch Linksversiffte geistlos Kommentar Woke fühlend Zeitgeist Idiot
18,b Bund Haltdiefresse
19,Zukunft Haltdiefresse
20,vollkommen egal wofür Handlanger Faschist Kreml stimmen Faktum Russland Budapestermemorandum Amp mehrere völkerrechtlich bindend Abkommen brechen Haltdiefresse Bullshit Propaganda Russland
21,Haltdiefresse Amp lassen Binfa Sunzi Troll kommen erst nachweisbar verstehen haben Jahrzehnt Dauer Tschüssikovski
22,Haltdiefresse Troll
23,ey Fritte Haltdiefresse
24,Seebruecke Haltdiefresse
25,Leben Scheiss erzählen Ok Zeile fehlen Song trotzdem ne Obereins
26,Haltdiefresse
27,wiederholen gerne immer Täglic Minute Leben Faschist widerwärtig reden wagen schreiben Unverschämt Haltdiefresse
28,Haltdiefresse
29,wirklich erwachsen ganz toll Moralkino spät fiktiv Zitat darstellen gleichzeitig Haltdiefresse Hashtag anfügen wer Schmierblatt mögen Halt kaufen Gute ignorieren schlecht pr pr
30,Haltdiefresse Nazisraus
31,bo Ahahahahaha deswegen tragen immungeschwächt Mensch Pflegekraft sowie medizinisch Personal Spaß natürlich bringen natürlich Alltag übertragen Haltdiefresse
32,Unrat Haltdiefresse
33,Nahrungsmittelbeschaffung schleudern Speer künftig möglich bitte Haltdiefresse hören Lacksaufen Liebe Union
34,ja wohl Alphakevin Vater Idiotistan möchten Staatsbürgerschaft zurück schämen Querdenkersindkacke Haltdiefresse
35,Kennste Kennste Haltdiefresse wissen schon
36,Haltdiefresse
37,Haltdiefresse
38,Florian Wirs schon Jahr erklären helfen kannen jemanden Therapie
39,Florian Wirs schon Jahr erklären helfen kannen jemanden Therapieeyperiment animieren klar Haltdiefresse
40,Haltdiefresse Kasper Verpiss Nazisau Milchbubi
41,Haltdiefresse Nazioma
42,Truecrime mal auffallen Truecrime ständig unwahr Behauptung Raum dumm Frage Bubble werfen Recht Hassmob Ekligen Menschenverachtung suhl Haltdiefresse Fcknzs
43,oh Sehempfehlung Nazi Haltdiefresse Fcknzs
44,Anwalt Grundrecht Amp Demokratie Journalist Haltdiefresse Covidiot Fcknzs
45,Haltdiefresse
46,Fedders Haltdiefresse Rassistenaufsmaul
47,Grantler Soeder Presse Mdl Trautner Haltdiefresse Schau Freitag bayerisch Fernsehen
48,Bund Haltdiefresse
49,leugnen Existenz Virus Haltdiefresse Covidiot
50,Hansjürgen Vollidiot Herr Haltdiefresse
51,Pazderski warum Spast anzeigen Haltdiefresse
52,Vollidiot denken interessieren Vernunftbegabten Rest Gesellschaft reichlich Wenigund gut Haltdiefresse Covidiot Fcknzs
53,r genau neoliberal lieb Trumpeske Formulierung Scheißegal Freihitsbegriff perversiert Hauptsache Rubel rollen Haltdiefresse Afdp
54,Bda Haltdiefresse
55,apropos still Haltdiefresse
56,Haltdiefresse
57,ja ganz weit Welt Erfindung deutsch Politiker einfach übernehmen fühlen eigentlich dumm Scheiße Haltdiefresse Covidiot
58,Haltdiefresse
59,ach Kommdu fürchten schon Ner Spritze nem Stück Stoff fressen Haltdiefresse Covidiot
60,Haltdiefresse
61,Haltdiefresse
62,Martinhagen Tereshkova Haltdiefresse
63,Haltdiefresse Covidiotin Fcknzs
64,Miki sagen mal wohl Haltdiefresse Spaltungsinstrument ab Stein Hergekrochen kommen
65,Haltdiefresse
66,vorher glühend Göbbels Hitler feieren total Krieg Haltdiefresse Opfermythos
67,Haltdiefresse billig Propaganda Amp Verpiss tl
68,bohren Haltdiefresse
69,Haltdiefresse
70,Caput Haltdiefresse
71,Haltdiefresse Arschloch
72,Gepetto Haltdiefresse Nazi
73,kommen Moment Great Reset Sooo dringend wünschen Haltdiefresse
74,Gott Trottel Haltdiefresse Covidiot Fcknzs
75,Haltdiefresse Noafd
76,pseudojüdisch Rassisten völkisch Zionazis gelten Haltdiefresse
77,Siemering haben Argument außer Haltdiefresse
78,lang ziemlich überheblich Esoteriker Abschluss Baumschule denken können Berufsleben regional Impfkampagnen geleitet irgendwas anhand Youtubevideos erklären Haltdiefresse Troll
