,Tweet
0,"@haintz_markus wenn man keine Ahnung hat, heisst man Haintz u verbreitet Lügen. #haltdieFresse"
1,@ainyrockstar @Sebasti75414497 #HaltDieFresse
2,@dcoldD5myLAknfg @jan_wiebe #haltdiefresse #Russentroll
3,@AfDLindemann @Karl_Lauterbach @BillGates #haltdiefresse.
4,"@f_ratzinger @Krankenpflegel #HaltDieFresse

#Querfurzer #QuerdenkerSindTerroristen #DieMaskebleibtauf #Maskenpflicht #Pandemie"
5,@skum766 @berlinerzeitung @IrisSpranger @polizeiberlin @spdberlin @Innensenatorin #HaltDieFresse
6,@CDU #HaltDieFresse
7,@schroeder_k @welt #HaltDieFresse und #SchwurbelAb!
8,@Bundeskanzler #Haltdiefresse verlogener Kriegstreiber!
9,@Lulu91603486 @Tagesspiegel #HaltDieFresse
10,Ich sags jetzt schon mam für morgen #HaltDieFresse #Linda und #eric #IBES 🤷‍♀️
11,@StBrandner #HaltDieFresse #Schmarotzer #Heuchler
12,@jreichelt #HaltDieFresse
13,"@christophploss Bürger*innen werden ohne rechtlichen Schutz dazu genötigt, diese gequirlte, braune Scheiße zu ertragen! Wenn ein korruptes Organ wie die Union versucht, anderen ihre Ideologie aufzuzwingen, muss irgendwer handeln und diese Täter aus allem Staatlichen entfernen. #HaltDieFresse 🤮"
14,"@BoccaVerita2 Wohl eher ""Bocca della menzogna"". ;)
#HaltDieFresse #Covidiot! 🚀"
15,"@GindpndntWoman Ich bin sehr geneigt fresch zu werden
Sei froh und
#HaltDieFresse"
16,"@dimitrov_dimi @PeterErwin_S @PhilHackemann #haltdiefresse wenn du nicht Checken willst das ein erzwungenes ""Abkommen"" Gültigkeit haben kann wenn es gegen ein zuvor unter freien Parteien getroffenes Abkommen verstößt.
Und genau das tut das ""Minsker Abkommen"".
#Russentroll"
17,"@LocoLoco88888 @socialwriter @Der_Kritiker_1 @TaiHsia @Georgetown @GeorgetownLaw #HaltDieFresse ist so der typisch linksversiffte, geistlose Kommentar der sich Woke fühlenden Zeitgeist Idioten!"
18,@Nimrod_1B @Friedenspolizei @BMI_Bund #haltdieFresse
19,@SG_Zukunft #HaltDieFresse 🤡🚀
20,"@ThomasPietsch6 Es ist vollkommen egal wofür die Handlanger des Faschisten im Kreml stimmen.
FAKT IST
Das #Russland das #BudapesterMemorandum &amp; mehrere andere völkerrechtlich bindende Abkommen gebrochen hat.
Und jetzt #haltdiefresse mit deiner #Bullshit #Propaganda für Russland."
21,"@mux441 #haltdiefresse &amp; ließ das ""Bin'fa"" von Sun-Zi #Troll.
Und komm erst wieder wenn du es nachweisbar verstanden hast.
Was einige Jahrzehnte dauern wird.
Tschüssikovski"
22,@ThomasPietsch6 @Afelia #haltdiefresse #troll
23,"@Berkan031080 @ABaerbock @climatemorgan Ey, Fritte...... #HaltDieFresse"
24,@KenpachiGraves @_Seebruecke_ @19FebruarHanau #haltdieFresse
25,"RT @SimonGosejohann: „In meinem Leben habe ich so viel‘ Scheiss‘ erzählt...“ 🎵 
Ok, die Zeile fehlt, aber der Song ist trotzdem ne Obereins…"
26,@jensspahn @cducsubt #HaltdieFresse
27,"@schildower @Korallenherz Ich wiederhole es gerne und immer wieder. Täglic. jede Minute meines Lebens: Faschisten sind widerwärtig. Wir reden nicht mit ihnen. Dass du dich wagst etwas zu schreiben, das ist unverschämt.
Also: #HaltDieFresse"
28,@AntiFraktionGM @Krankenpflegel @JackyBee77 #haltDieFresse
29,"@betablogr Wirklich sehr erwachsen und ganz tolles Moralkino, es später als ein fiktiven Zitat darzustellen und gleichzeitig ein #HaltDieFresse Hashtag anzufügen. Wer das Schmierblatt nicht mag, soll es halt nicht kaufen. Und am besten ignorieren. Denn auch schlechte PR ist PR."
30,@JohannesNormann #HaltDieFresse #NazisRaus
31,"@Monique1984C @f_bo_ AHAHAHAHAHA, deswegen tragen immungeschwächte Menschen und Pflegekräfte, sowie medizinisches Personal diese nur zum Spaß, weil es natürlich nichts bringt und man dies natürlich nicht auf den Alltag übertragen kann 🤡🤡🤡. #HaltDieFresse https://t.co/CoEvgxAyLm"
32,@Professor_Unrat #haltdieFresse
33,"Nahrungsmittelbeschaffung mit Schleuder und Speer muss auch künftig möglich sein. Bitte #HaltDieFresse und hört auf mit dem Lacksaufen, liebe Union. Es ist 2022. https://t.co/4xA2PN2VBj"
34,"@wakeupnews @dirkkreuter Also du bist ja wohl der AlphaKevin sein Vater. Idiotistan möchte deine Staatsbürgerschaft zurück.. Sie schämen sich zu sehr für dich 🤮

#QuerdenkerSindKacke #HaltDieFresse https://t.co/ILe5iR9OGi"
35,"@dr2okevin @TJayDab @DirkStutzki @PolizeiHamburg Kennste eine, kennste alle… #HaltDieFresse…. ihr wisst schon.."
36,@AfDLindemann #HaltdieFresse @AfD
37,@ArminGrau #HaltDieFresse
38,"RT @futureman5: @fwhfreising Florian. Nun haben wirs dir schon 1 jahr erklärt. Es hilft nicht.

Du kannst nicht jemanden zu einem therapiee…"
39,"@fwhfreising Florian. Nun haben wirs dir schon 1 jahr erklärt. Es hilft nicht.

Du kannst nicht jemanden zu einem therapieeyperiment animieren. klar?

#haltdiefresse"
40,@HerkularsXY #HaltDieFresse du #Kasper und verpiss dich #Nazisau #Milchbubi
41,@SteinbachErika @TiloJung #HaltDieFresse #Nazioma
42,"@_truecrime88 Ist Euch mal aufgefallen, dass @_truecrime88 ständig unwahre Behauptungen in den Raum und dann dumme Fragen in ihre Bubble wirft, damit sich der rechte Hassmob in seiner ekligen Menschenverachtung suhlen kann? 🤡
#HaltDieFresse #FCKNZS 🖕🚀"
43,"@Ahrens64605199 @RainerFrank6 @KrahMax @AfDLindemann Oh, die Sehempfehlung eines Nazis.... 🤡🤣
#HaltDieFresse #FCKNZS 🚀"
44,"@acundp ""Anwalt für Grundrechte &amp; Demokratie, Journalist""
🤣😂🤣😂🤣
#HaltDieFresse #Covidiot! #FCKNZS🤡🚀"
45,@AugustBembel #haltdiefresse
46,@Prof_123456789 @Tagesspiegel @jonas_fedders #HaltDieFresse #RassistenAufsMaul
47,@oida_grantler @Markus_Soeder @BR_Presse @IlseAigner @MelanieHuml @MichaelPiazolo @KS_MdL @c_trautner #HaltDieFresse und schaus dir am Freitag im bayerischen Fernsehen an.
48,"@Vision16976421 @BMI_Bund @spdde #HaltDieFresse, Du 🤡! 🚀"
49,"@hiopien @xtraa @mrmanfredsenjen @BILD Also leugnest Du die Existenz des Virus? 🤡
#HaltDieFresse #Covidiot!"
50,"@HansJrgenLinde7 @Tagesspiegel 🤦‍♂️
Hans-Jürgen, ein Vollidiot vor dem Herrn.
#HaltDieFresse 🚀"
51,@Georg_Pazderski Warum wird mir dieser spast angezeigt …  #haltdiefresse
52,"@LukeChocoMel Was ein Vollidiot wie Du so ""denkt"", interessiert den vernunftbegabten Rest der Gesellschaft reichlich wenig...Und das ist auch gut so. 🤡
#HaltDieFresse #Covidiot! #FCKNZS"
53,"@Datenklempner @polenz_r Genau. Neoliberale, wie Du es bist, lieben trumpeske Formulierungen. Da ist es ihnen auch scheißegal, dass der Freihitsbegriff perversiert wird. Hauptsache der ""Rubel"" rollt.🤡
#HaltDieFresse #AfDP"
54,@RebornAgain8 @MartinaRenner @NancyFaeser @vvn_bda @Linksfraktion #haltdiefresse
55,"@EscTaste Apropos ""Stille"" ... #HaltDieFresse 🚀"
56,@JulianMerit @tagesschau #HaltDieFresse
57,"@daish1110 @ZDFheute Weil ja die ganze weite Welt die ""Erfindungen"" eines deutschen Politikers einfach so übernimmt. 🤦‍♂️
Wie fühlt sich das eigentlich an, dumm wie Scheiße zu sein?^^
#HaltDieFresse #Covidiot! 🚀"
58,@steinwolf @StriegSe #HaltDieFresse
59,"@NoobiestPlayer @ZDFheute Ach komm...Du fürchtest Dich doch schon vor ner Spritze oder nem Stück Stoff vor der Fresse.^^
#HaltDieFresse #Covidiot! 🚀"
60,@JuliaKloeckner #HaltDieFresse
61,@Frisko84 @derspiegel #HaltDieFresse
62,@_MartinHagen @lina_tereshkova @KathaSchulze #HaltDieFresse
63,"@MarieRichler 🤡🚀
#HaltDieFresse #Covidiotin #FCKNZS"
