,Tweet
0,RT @moviedirect2002: @rosenbusch_ Was in Kanada passiert ist weltweit geplant. Wir beobachten die Testphase…. Und die gekauften Journaliste…
1,@Karl_Lauterbach Halt endlich mal die Fresse
2,Dehnungsstreifen sind voll schön!! :))) und Haare am Körper voll normal😇 und hässliche Füße sind okay! :)) halt die fresse du 0 bitches haver 🤣
3,Meine Fresse geht das einfach.. #BVBBMG
4,"JAAAAA MAN VERDAMMTE SCHEIßE...

MEINE FRESSE EY...

#BVBBMG"
5,"@sgasteyger Knapp 2k Vollidiot*innen gefällt das.
Die meisten Menschen wissen nicht, darum meinen sie. Oder sind überzeugt. Wie auch immer, ein Schlag in die Fresse aller Menschen, die uns durch die Pandemie helfen. Einen Tritt mit Anlauf in den Arsch haben Sie verdient."
6,@sech28 @chanayabsll @nichtspycy Der Frosch soll die fresse halten
7,@teiderhurnsojn Junge Aron halt jetzt deine fresse. Was willst du gerade erreichen
8,Meine Fresse solche Dinger müssen rein… 2 Hundertprozentige
9,"@bmg_edits Junge WAS MACHT HOFMANN ALTER , spiel doch einfach ab meine fresse"
10,"@FCBayern Wer sagt Ulle kann nichts, soll einfach mal die Fresse halten. 💪🏻 Bravo Ulle"
11,"@MaxBYRN Die ""Pisser"". Einfach mal Fresse halten. Natürlich war das keine gute Leistung aber es gibt nun mal Phasen wo es einfach nicht läuft. Anstatt zu meckern, sollte man lieber unterstützen als Fan. Du bist also eher der ""Pisser"" hier."
12,@orangesoda87 Fresse
13,@floreehh @Darkz_xxx @3rdStreetStain Imagine if I started saying *halt deine fresse du Schwein* let That sink in Flore let that sink in 🤭
14,JAWOLL GEHT DOCH MEINE FRESSE
15,"cringe und unmännlich einfach, dass wir alle uns nicht regelmäßig gegenseitig auf die fresse schlagen und rippen brechen"
16,"RT @Pragmatic_1984: @berlinerzeitung Ach gott - diese,wir befragen die üblichen 1000 Leute Online und per Telefon mit einem ""gesteuerten""Fr…"
17,RT @rainerschund: Habe mir gerade beim T-Shirt Anziehen selber in die Fresse gehauen. Wie läuft euer Sonntag so?
18,marko ist konvertiert und konnte seitdem nicht mehr die fresse halten
19,"RT @Dekarldent: Ich haptic das Gefühl, dass ziemlich viele Influencer*innen echt die Fresse halten sollten und beim Videospielen bleiben."
20,@SVWSCP @rot_weiss_essen Halt deine Fresse du Spinner als wäre das nicht selbstverständlich
21,Unlustig Bruder bitte halt die fresse
22,@eestibjarne @ty_johannes @rot_weiss_essen DAS HAB ICH DOCH GESAGT AHHHHHHHH MEINE FRESSE
23,"@PhilipPlickert lasst menschen ihr #selbstbestimmungsrecht.
alles andere ist illiberal!
cicero, die deutsche tugend-fresse halten!"
24,@FinkPete Meine Fresse freu ich mich drauf!!! Und dann mit euch 2!!! Geil
25,@HNIppoStan1but2 @zSaruu @melkemotius @UzumakiKrishan halt mal deine fresse du hurensohn
26,@Kimmich_WRLD Dann würden die ganzen paredese verratis Neymars pedri mal die fresse halten
27,MEINE FRESSE HÜHNERHAUFEN
28,@schwanzifranzi der soll fresse halten
29,@6yhamza halt die fresse?
30,RT @moviedirect2002: @rosenbusch_ Was in Kanada passiert ist weltweit geplant. Wir beobachten die Testphase…. Und die gekauften Journaliste…
31,@Jizzing @elvisjr9315 @CODMW2Informer Halt mal die fresse du hs
32,@heinmax50 @trollpunk69 Fresse!
33,"@ThiloSc Ich bin mir sicher der Großteil der Gesellschaft ebenfalls nicht,aber der Nachbar könnte einen dann evtl nicht mehr mögen,somit lieber Fresse halten u akzeptiert bleiben."
34,"RT @drecksuser: Ich schäme mich so für unsere „fans“ die pfeifen in der Halbzeitpause, aber kriegen ihre fresse nicht auf zum supporten wäh…"
35,RT @Emil781: So nochmal an die ganz schwachmatten...Liebe mein land meine Kultur und bin kein NAZI Und wer das von mir denkt soll die fress…
36,@LinaEichler @AufstandLastGen Halt die fresse und geh verdammt nochmal einer geregelten Tätigkeit nach.
37,"Wo von sabbelt der Junkie eigentlich? In welcher Welt lebt der?

Meine Fresse, setzt den Schwachmaten ab, bevor er sich noch weh tut! https://t.co/SvO622mAOL"
38,@OliverKahn @FCBayern Halt die fresse
39,"@holgi Holger -Fettbacke- Klein Halt deine Fresse du Impfmuschi.
Sperr dich und deine Sippe ein aber lass andere Menschen in Ruhe!"
40,@dexst8r Fresse hurensohn
41,"@tobybaier Toby Baier Halt deine Fresse du Impfmuschi.
Sperr dich und deine Sippe ein aber lass andere Menschen in Ruhe!"
42,"@Einhornkadaver Sag Ihnen doch mal Sie sollen die Fresse halten und stolz sein das du so bist wie du bist und mit viel Kraft auch da bleibst, selbst bei Rückschlägen.. du bist nicht verantwortlich für deren Auseinandersetzung, die Die selbst regelten müssen ... oder sowas in der Art sry 🤷‍♂️🍻🤘"
43,@dianacorsten halt die fresse
44,"@aenea_jr Ist vermutlich nur eine Frage der Zeit. 😕

Und ansonsten: inne Fresse! 🤜🤛"
45,"Jedes Wochenende schlägt mir dieser Verein mit Anlauf in die Fresse und trotzdem kribbelt es 2 Stunden vorm Spiel schon wieder und ich male mir Szenarien aus, wie wir gewinnen können..........

Hach Fussball💙🙄

#hahohe #BSCRBL"
46,Junge ist der dumm meine fresse
47,@diebosnierin halt die fresse arnela
48,"@JulianFSchmidt @TinaBumBina @shushu @Spicysauced @dasbringtnix @xjennyan Es hat NIEMANDEN zu interessieren und KEINER hat das Recht das in Frage zu stellen! 
Wenn man nichts Gutes zu sagen hat, dann sollte man einfach die Fresse halten. :) (4/x)"
49,RT @Tini68274439: @Luisamneubauer Warum sachliche Argumente bei Ihnen populistisch sind erschließt sich wohl nur Berufsaktivisten. Eine Dis…
50,"@haferkron @LevinKubeth @saechsischeDE Ach, halt die Fresse."
51,@Zessons @1893Jannik Ach halt einfach die fresse Junge was du für eine scheiße laberst ist auch unfassbar
52,"RT @Dok_Wu: Wenn du für Hackepeter im Kopf und das Recht auf Ansteckung anderer demonstrieren gehst, bekommst du im Zweifelsfall von Polizi…"
53,@marco07504753 @groehler79 @Dekarldent Wer sich über Fresse halten echauffiert.. Da wird ein vernünftiger Diskurs schwer
54,@ichbinamballen @jayhepriva fresse
55,RT @brandsatzbodo: wie hart will man den leuten eigentlich noch in die fresse hauen
56,@ShirinDavid kannst du so richtig in die fresse rap machen maus👩‍❤️‍💋‍👩?
57,"RT @MuiseLarie: Soooooo geht es zig Familien. Wir wollen ja schon gar nichts mehr außer unsere Ruhe. Meine Fresse. Ruhe, wir sind Todgekämp…"
58,Ich halte lieber meine fresse
59,@oldMephisto @Maroccain2k @MaroccainRL @Frezeemeister @Doki_san_ @MyX1m Halt die Fresse selbst als thermite sollte man paar kills hinbekommen du flasche
60,@ShlongoMcNugget Beides richtig geile Filme aber Inglourious Basterds einfach nur Epic. Immer rein in die Nazi fresse
61,"@angelique_co__ @ennobunger Ihre Ausdrucksweise lässt auch zu wünschen übrig. Ich fresse nicht, ich ESSE gerne Fleisch. Fressen tun Tiere."
62,@StBrandner halt deine braune Fresse Herr Bundesalkoholiker. keiner braucht dein beschissenes Faschogelber. geh deinem Führer folgen. fix.
