,Tweet_lemmatized
0,danken Merkel
1,These De bitte Vergessen wer Amt hieven Ausgleich dafür Kommisionspräsident De kommen gehen Axel Weber Chef Ezb leer kommen dafür Christine Lagarde zwei Nieten klappen danken Fr Merkel
2,danken Merkel
3,Saar Vergessen Leute gerne Jahr Merkel möglich Linksruck Schranke weisen danken cuckservativ
4,Ntv voll Grünkirs d Waffe persönlich Verteidigung Clan Maffia u A Waffe Bürger bewissen Unbewaffnetpolitik Gewolltwehrpflicht aussetzen hilflos machen danken Fr Merkel
5,Wolfgang danken Korrektur
6,Karlsruhe tja haben danken Frau Merkel Wahl wegweisend Epochal Jahr fassungslos zurückblicken
7,gar belangen rum Bratwurstscholz en ne ruhig Kugel schieben Raute Grauen Wirschaffendas Euro Steuerzahlergeld Pension gehen Sintflut werden Merkel jemals belangen nein danken dt Michel
8,danken Merkel
9,danken Frau Merkel schaffen Vermächtnis können eigen Volk antun kriminell Gesindel Fraß vorwerfen hoffentlich bekommen Gerechte Strafe dafür
10,Mucnord jung Union danken Verdeutlichung Jahr Union Regierung Jahr K
11,Union danken Merkel
12,Dreckloch Berlin Gewalt Highdecksiedlung Mob attackieren Auto bitte meiden Nogo Area Berlin
13,brutal Gewalt durchziehen vornehmen danken Merkel
14,danken Merkel Jahr verwaltet
15,danken Eu danken Euro danken Merkel
16,impfen geboostert sowie danken Merkel Profil wandelnd Clownklischee
17,danken Eu danken Euro danken Merkel
18,Frau Merkel Frau Position bringen sagen mal schön danken Frau Merkel
19,Dreckloch Berlin Gewalt Highdecksiedlung Mob attackieren Auto bitte meiden Nogo Area Berlin Neukölln danken Cdu Spd Fdp Linke Grüne Frau Merkel gt Berlin Wien Flüchtling Islam
20,Innenstadt Heimatstadt laufen kommen sein entweder Türkei irgendwo Afrika landen schön Stadt Jugend rein gar mehr Tun danken Merkel f
21,danken Merkel gehören hinten dran
22,danken Wolfgang
23,danken Merkel
24,Zuschauer Plus Klatschpappen danken Merkel Effzeh Koesge
25,germany is Truly The Kremlin s Trojan Horse Nato danken Merkel
26,danken Wolfgang
27,danken Merkel
28,danken Merkel
29,Frau Angela Merkel Baerbock lang danken nein
30,gut minen danken tief leider gehen groß Freiheitsbedürfnis Schrottpolitologen lehren lassen u Hervorgebracht sehen Merkel Bill Misswirtschaft
31,danken Frau Merkel
32,Dersommer Friedrichmerz nennen naiv Merz Merkel Klatschpappen Opportunist Rücken nein danken Amt lassen erst Situation manövrieren
33,akademisch Ausbildung erlauben selbstbestimmt eigenverantwortlich Leben Stellige Steuerbeitrag zahlen engagieren Z Nachhilfe Flüchtling danken Merkel asozial G G Impfplicht Mensch Nazisraus haben Vergessen
34,sagen bitte neu Info Merkel Gmbh haben danken
35,Recht Merkel Kür Wulff wissen Genugtuung Hand reiben Wahlgang lebend Bundespräsident aktuell danken Merkel
36,danken Wolfgang
37,mk sofortig Verzicht komplett Co Ausstoß Verkehr Industrie Heizung vielleich
38,danken Merkel
39,danken Wolfgang
40,Statistik Kaže Str Porast Primerov ko Bili Ljudje Porinjeni na Tračnice v Nemčiji danken Mutti Merkel Različnost Na Bogati
41,schön Pflaumbaum Rip sollen Punk Kohle Frage danken Merkel
42,danken Merkel
43,richtig Regel viele eben mehr Leben danken Angela Merkel
44,danken Merkel werden danken Baerbock warum danken Scholz
45,Dorn Rudolf Thanks Obama Amp danken Merkel Hessen Edition bekommen
46,danken Frmerkel ew Ausstieg ke Studie Uwsj teuer Udümmste Energieuks Politik d Oecd Staat Ampel Zeit Inflation Umehr Inflationkrieg wenigstens Glversdie Kkwe nutzen
47,Top danken Herr Schuller Text Bestenzeit substantiell Faz Analyse anknüpfen gleichzeitig Urteil ub Merkelschröder Putinpolitik Beteiligt Steinmeier etc ausgesprochen
48,Weidel Nee müssen lieber Alice Weidel wissen sagen intelligent Merkel Qualle formen Gute passen Nee danken
49,danken Merkel
50,Speisewagen dürfen immer Snickers Essen danken Merkel Nichtmeinland Warumruftkeinederprak
51,danken Merkel Wettermaschine rumdrehen müssen
52,Orr mal mehr Tran Person hetzen Afd Meinung Partei Bundestag Haltung scharf kritisieren Recht Ecke stellen echt gemein danken Merkel
53,Koenigin Jahr Advent Februar danken Merkel
54,Jahr Advent Februar danken Merkel
55,Februar Weihnachtsgeschenk kaufen danken Merkel
56,mk sofortig Verzicht komplett Co Ausstoß Verkehr Industrie Heizung vielleicht Status quo erreichen Wetterkapriolen sicher bleiben schon spät danken Merkel
57,danken Wolfgang
58,danken Überboss nfts helfen Merkel Dkiktatur Maulkörben
59,danken Wolfgang
60,haben Abrissbirne Angela Merkel rechtzeitig Ddr zurück schicken sein passieren danken Baden ja
61,danken Merkel
62,Fraktur danken Gerhard Schröder journalistisch Bullshit Merkel ganz Mist Unfähigkeit herbeifgeführt deutsch Rußlandhassern machen Hitler schon Ergebnis sehen
63,danken Merkel
64,danken Merkel
65,danken Merkel
66,danken Merkel
67,danken Merkel
68,Speisewagen dürfen immer Snickers Essen danken Merkel Nichtmeinland Warumruftkeinederpraktikantinnenmehrzurück Ichstehvormkadeweundmerkewiearbeitslosichbin
69,danken Merkel
70,danken Frau Merkel
71,Ziesmann Schallenberg Baerbock herzlich dank Herr Strache wichtig fehlen vo
72,Mucnord jung Union danken Verdeutlichung Jahr Union Regierung Jahr Kanzler Merkel dafür tun deutsch Verbraucher ausquetschen heute dank Folgerung lauten nie Union wählen
73,danken Merkel Wolfgang
74,Geburtsdatum Dekade genügen Beginn hartzens Photo Gadse danken Merkel Ende Vergessen
75,Wolfgang danken
76,Net danken Frau Merkel toll Idee Energieversorgung Hand Kreml legen no
77,Piet nix Kannste mehr verlassen danken Merkel
78,S danken Merkel
79,Leh danken Merkel
80,danken Merkel Wolfgang
81,Terroranschlag Hagen planen Syrer Oday Synagoge angreifen Anleitung Bombenbau Sprengstoffgürtel bereits danken Cdu Spd Fdp Linke Grüne Frau Merkel gt Berlin Wien Flüchtling Islam
82,Shaice Gelumpe mal neu starten hängen immer G rum danken Merkel
83,danken Frau Merkel
84,Wolfgang Merkel liegen schon Jahr Schreibtisch danken Merkel
85,danken mama Merkel genießen ungeniert sorglos Rente unzählig Leibwächter fahren schnellstens Hölle
86,Ziesmann Schallenberg Baerbock herzlich dank Herr Strache wichtig fehlen vo
87,danken Merkel
88,danken Frau Merkel
89,Uhr hören Pachelbel danken Merkel
90,Before naiv Thought germany is A Great country And Merkel is A Great Leader Next year danken Frau Ribbentrop
91,Ziesmann Schallenberg Baerbock herzlich dank Herr Strache wichtig fehlen vo
92,Ziesmann Schallenberg Baerbock herzlich dank Herr Strache wichtig fehlen Schallenberg danken Frau Merkel
