,Tweet
0,"RT @derVossi_: Mal eine Frage:
Ist das heute die Ruhe vor, oder die nach dem Sturm?"
1,"@Rosi_unterwegs @HelenaPiks @skypromusic Alles gut 😉 blockchainopfer war ich auch schon hier und da, wurde aber auch schnell geklärt. Du hast das ja heute morgen gut erklärt. Soweit war ich nicht im Thema mit Spaces"
2,"RT @LibertyLucas26: Heute sind die Grundrechte 706 Tage in Haft. Es darf nicht in Vergessenheit geraten. #FreeGrundrechte LL

Nicht Corona…"
3,Läuft heute #BVB
4,"Also @woodyinho hat Bock heute

🖤💛
 #BVBBMG"
5,"ARD-Sonntagskrimi: Der Schnellcheck zum Dortmund-#Tatort  8 Punkte, das ist ja toll 
https://t.co/i3YFCBiJ4f via @derspiegel"
6,mir haben heute so viele aus meiner stadt insta anfrage geschickt macht mir bisschen angst
7,"RT @v_schleicher: Die Linken sind eindeutig autoritärer geworden. Früher haben sie noch gegen Notstandsgesetze demonstriert, heute billigen…"
8,"@JoachimFie @MagentaTV Normalerweise mag ich ihn ganz gerne, aber heute hätte ich am liebsten den Ton ausgeschaltet..."
9,RT @drippy1thiaw: Gio süße Maus nicht weinen deine Haare sehen doch heute wieder so gut aus  🥺🥺💝💝💝
10,"RT @glr_berlin: Etwa 1000 Menschen sind heute bei denkbar schlechtem Wetter in Prenzlauer Berg auf die Straße gegangen, um Solidarität mit…"
11,"@ploetzwiss @daedalic Ein #Experiment gibt es heute auch, es wird etwas chemisch, aber nicht zu doll... und natürlich spielt Wasser eine Rolle 😜"
12,"RT @3Fach5G: Lieber Kollege , Du hast hast sehr viele Leben gerettet, heute soll Twitter für Dich leuchten, das Du bald wieder in unserer M…"
13,Heute läuft es ja richtig für #meinVfL. Auch in Dortmund 😀 wie gut!!
14,RT @senad_lacevic: Heute ist internationaler Tag für #sozialeGerechtigkeit. Ich möchte eure Aufmerksamkeit deshalb heute auf d mangelnde so…
15,"RT @_luviana: ⭕️JETZT LIVE ⭕️
starten werden wir heute mit #JustChatting und danach mal schauen :)

#TwitchDE #twitchgirl #gaming #twelvemi…"
16,"RT @_luviana: ⭕️JETZT LIVE ⭕️
starten werden wir heute mit #JustChatting und danach mal schauen :)

#TwitchDE #twitchgirl #gaming #twelvemi…"
17,RT @senad_lacevic: Heute ist internationaler Tag für #sozialeGerechtigkeit. Ich möchte eure Aufmerksamkeit deshalb heute auf d mangelnde so…
18,@janko_meisel Ich glaube ich opfere heute noch mein linkes Bein damit wenigstens das Endprodukt nicht kacke ist
19,"RT @martel_afd: Alles Gute unserem Ehrenvorsitzenden Dr. Alexander #Gauland zum 81. Geburtstag!
Bis heute der einzige ehemalige #AfD-Vorsit…"
20,Ich bin ja übrigens ein Fußball-Maskottchen-Hund. Für jedes Tor vom @BVB bekommen wir immer ein Leckerchen. Heute läufts ganz gut. 😜😍 https://t.co/1QFnaTg00T
21,"RT @Mses_B: Ich wollte heute das Bad putzen und die Küche aufräumen. 

Bin nun bei Staffel 2 Folge 5."
22,"@karlheinz_e einerseits kein Frauenname und andererseits zu spät. ""A"" ist bereits vergeben und trift heute Nacht ein.

""B"" wie ""Beatrix"" ist m.W. noch frei 😇"
23,RT @HansHuett: Die Polizeiverordnung vom 1. September 1941 ließ jüdischen Menschen keine Wahl. Wer den Davidstern aus freien Stücken heute…
24,"Hinweis: Auf YouTube steht, es würde um 12:05 beginnen. Ignoriert das, es beginnt um 20 Uhr!

Ab morgen könnt ihr euch das Album kostenlos oder gegen freiwilligen Betrag auf meiner Homepage downloaden.

Ich hoffe, ihr seid heute dabei und freue mich riesig auf euch! ❤️🔥😊"
25,"Was haben wir heute gespielt? 

Eigentlich wollte ich noch ein Bild der Auslage machen, aber unser Jüngster war leider zu schnell mit wegräumen. Knapp war es zwischen meiner Frau und mir. Mit 65 zu 63 Punkten ist Sie an mir vorbei gezogen und 53 Pkt. hat der Sohnemann 😊 https://t.co/ViWMhy6JNJ"
26,"@Karl_Lauterbach Danke ! Sie haben meinen Tweet von heute morgen gelesen. 

Studien aus , ganz wichtig, HARVARD besagen, dass sie BA2 milde ist. 

Also, ihr Panikmodus war unbegründet. Sollen wir auf die nächste Mutation warten, bis sie alle Maßnahmen aufheben oder wie lange brauchen sie noch ?"
27,"Hier nun der Direkt-Link zur Präsentation meines neuen Albums ""Wer ich bin"" in Konzert-Länge. Beginn ist heute 20 Uhr, die Premiere geht bis 22:20 Uhr, mit Live-Chat! ❤️🔥

Das Album beinhaltet politische, gesellschaftliche und persönliche Themen.
https://t.co/eI1wGzaQwJ"
28,Ein Teil des Team D wurde heute am Frankfurter Flughafen empfangen. Mit der Biathlon-Delegation kam auch die Gold-Denise zurück nach Deutschland.  @SID_Sportnews https://t.co/2HeWCCRZa6
29,"@ichgruessesie Ich habe heute bei meiner Radtour auch sehr viele umgekippte Bäume gesehen, was war denn da los, zu viele Querdenker mit Aggressionen unterwegs?"
30,"RT @MrJonasDanner: Heute ist Tag 710 der ""Pandemie"" und ich kenne noch immer keinen Corona-Toten."
31,"In Warschau wird 1942 unweit des jüdischen Ghettos eine polnische Prostituierte und geheime deutsche Agentin ermordet, ein junger Offizier muss ermitteln. Der historische Psychokrimi #DieNachtDerGenerale ist heute um 20.15 auf @ARTEde unser #TVTipp: https://t.co/jxXLLMKchd https://t.co/YFZ9RUkKjo"
32,heute bin ich für dortmund weil ich gegen adi h bin
33,"RT @Peine01: „Vielleicht ist eine weltumfassende Schwesterlichkeit notwendig, ehe eine brüderliche Verständigung der gesamten Menschheit mö…"
34,"RT @v_schleicher: Die Linken sind eindeutig autoritärer geworden. Früher haben sie noch gegen Notstandsgesetze demonstriert, heute billigen…"
35,"RT @_FriedrichMerz: „Die Behauptung, schon heute wären die #Erneuerbaren billiger als alle anderen Energiequellen, hält einer Überprüfung n…"
36,"RT @BerndZiesemer: Wir müssen heute nüchtern feststellen, dass es China und Russland gelungen ist, einen Teil der politischen Klasse zu kor…"
37,"RT @nenacasc: Wenn die Maskenpflicht einmal fällt, werde ich die Maske NICHT freiwillig tragen. Bei keiner Gelegenheit. Zu keinem Zeitpunkt…"
38,"@Obi_Twice Morgen kann ich welche holen, aber das bringt mir heute nichts 😂"
39,"Ich schwöre, ich sah heute etwas Blaues vorbeifliegen. Die Spur verlor sich Richtung Thüringen, oder auch Sachsen.  https://t.co/lNP1doXuGz"
40,"RT @nenacasc: Wenn die Maskenpflicht einmal fällt, werde ich die Maske NICHT freiwillig tragen. Bei keiner Gelegenheit. Zu keinem Zeitpunkt…"
41,"RT @2020adoreyou: Heute

Sturmwetter https://t.co/TjF7UgiT3n"
42,"RT @kkklawitter: Idee:
Wer sein privates Auto abschafft und ein Jahr autofrei bleibt, bekommt 2.000 Euro.
2009 gab es für Verschrottung 2.5…"
43,"RT @RetirementRoyal: Heute Abend ab 18:00 Uhr sind wir wieder #live in #StarCitizen unterwegs

Wir schauen uns in Lorville Stellen an zu de…"
44,Gio süße Maus nicht weinen deine Haare sehen doch heute wieder so gut aus  🥺🥺💝💝💝
45,"RT @BlackMosqCrew: Nachdem die Cops in #Flensburg gestern schon eine angemeldete Sponti zu #Hanau zugunsten rechter ""Spaziergänger*innen"" w…"
46,Marco Reus heute stehend gefährlicher als deutsche Biathleten in Peking #BVBBMG
47,Bin etwas spät dran heute. Gleich geht der Stream los.
48,Heute wieder 0:6 who says no
49,"Das wird heute deutlich #BVBBMG 
Also wie immer eigentlich 😅"
50,"RT @manaf12hassan: Heute ist #Assange seit unglaublichen 1046 Tagen in Haft, im „britischen Guantanamo“ #Belmarsh. Seit fast 10 Jahren wird…"
51,"RT @nenacasc: Wenn die Maskenpflicht einmal fällt, werde ich die Maske NICHT freiwillig tragen. Bei keiner Gelegenheit. Zu keinem Zeitpunkt…"
52,"Wordle 246 6/6

🟨⬜⬜⬜🟩
⬜⬜🟨⬜🟩
⬜🟩⬜⬜🟩
⬜🟩⬜⬜🟩
⬜🟨🟩⬜⬜
🟩🟩🟩🟩🟩

Wördl 246 6/6 🔥1

⬜⬜⬜🟨🟩
🟩⬜⬜⬜🟩
🟩⬜⬜⬜🟩
🟩⬜⬜⬜🟩
🟩🟨🟨⬜🟩
🟩🟩🟩🟩🟩

Lief heute ja super 🙄"
53,"RT @gerhard_mangott: Wie gestern schon der Sekretärs belarussischen Sicherheitsrates, erklärt heute auch der Verteidigungsminister, dass di…"
54,"RT @nenacasc: Wenn die Maskenpflicht einmal fällt, werde ich die Maske NICHT freiwillig tragen. Bei keiner Gelegenheit. Zu keinem Zeitpunkt…"
55,RT @fuecks: Seit Preußens Zeiten waren deutsch-russische Sonderbeziehungen eine Hypothek für Europa. Das ist heute nicht anders. Unsere Rus…
56,"Schon gehört? 14 Monate nach der 1. Impfung sind Biontech + Moderna noch immer ohne ordentliche Zulassung – weil essenzielle Studien fehlen. Bis heute keiner der mRNA-Impfstoffe ausreichend erforscht, um Standards für eine ordentliche Zulassung der EU Behörde EMA zu erfüllen! https://t.co/ZnezFSpjOK"
57,"RT @nenacasc: Wenn die Maskenpflicht einmal fällt, werde ich die Maske NICHT freiwillig tragen. Bei keiner Gelegenheit. Zu keinem Zeitpunkt…"
58,"RT @manaf12hassan: Heute ist #Assange seit unglaublichen 1046 Tagen in Haft, im „britischen Guantanamo“ #Belmarsh. Seit fast 10 Jahren wird…"
59,"RT @NedaAmani68: Die EU Beschwichtigungspolitik verrät immer wieder aufs Neue, den Wunsch des iran.Volkes nach einem Regimeswechsel. An ihr…"
60,"Hab heute Nacht geträumt, dass wir im Deutschunterricht MDMA von RAF und Bonez analysiert haben und ich ausgelacht wurde, weil mir die Hook nicht mehr eingefallen ist."
61,"RT @wXwGermany: Neues Match für #wXwNOW &amp; Friends Showcase

Zusätzlich zu den bereits angekündigten Matches von @APCcatch @BodyslamProWres…"
62,@Sascha1982wtal Die Einstellung stimmt heute
63,"RT @SabineB19909564: Früher fragte man, ""Wie geht's Dir?"", heute fragt man, ""Bist Du geimpft?"". 
Und ich frag mich, ob die alle noch ganz d…"
64,@AnnaHBTC Und vergeßt das Impregnierspray nicht! War heute deshalb noch mal bei meinen.
65,Malen und Reus heute Masterclass!!! 👏 Heja @bvb ! #bvbbmg
66,"RT @martel_afd: Alles Gute unserem Ehrenvorsitzenden Dr. Alexander #Gauland zum 81. Geburtstag!
Bis heute der einzige ehemalige #AfD-Vorsit…"
67,"RT @doxograf: 🇩🇪20.02. Illertissen - ca. 700 freiheitsliebende Menschen gehen heute auf die Straße!💪Danke!🙏
🚫#ImpfpflichtAb18 #LauterbachRu…"
68,"RT @nenacasc: Wenn die Maskenpflicht einmal fällt, werde ich die Maske NICHT freiwillig tragen. Bei keiner Gelegenheit. Zu keinem Zeitpunkt…"
69,Heute morgen twitterte er etwas anders. Das kann nicht die Kommunikation eines Gesundheitsministers sein. Wir können unsere Politik nicht von Publikation zu Publikation gestalten! https://t.co/wDnBhj5pWB
70,"RT @v_schleicher: Die Linken sind eindeutig autoritärer geworden. Früher haben sie noch gegen Notstandsgesetze demonstriert, heute billigen…"
71,"@pinkumbrella_61 Es regt sich keiner auf, weil sich die Geschichte wiederholt. Früher wurden Frauen diskriminiert und Männer bevorzugt. Heute werden trans Frauen diskriminiert und trans Männer bevorzugt. Wieso könnten Männer den trans Mann feiern aber die Frauen nicht die trans Frau?"
72,RT @Keane1975: Demonstranten in der deutschen Stadt Neustadt standen schweigend da und spielten heute Abend die kanadische Nationalhymne fü…
73,"RT @JoachimFie: Der schlechteste Mann war heute der Kommentator bei @MagentaTV 
#betze #fck #svwfck"
74,"Nur mal so ein vergleich 🤔
📺 Bad Neighbors 2 heute um 20:15 auf #puls4 &amp; in der @zappntv App
#primetime #memes #meme #fun https://t.co/PD6jowpkpB"
75,Das schönste Bild heute in Dortmund https://t.co/Fbonu3Etkm
76,ich vergesse es die ganze zeit aber heute abend SPIELEN wir ja im Internet mit leuten omg geil
77,Heute also noch ne stürmische Nacht mit Antonia 😏 https://t.co/4nbs5B4ctT
78,"RT @Monique1984C: Danke Dir @FPerrefort, made my day, endlich n Lacher heute 😂😂😂 https://t.co/M3WzkVtg0L"
79,Fußballgott muss heute einfach mal anwesend sein und ich meine nicht (nur) Davie Selke
80,"RT @nenacasc: Wenn die Maskenpflicht einmal fällt, werde ich die Maske NICHT freiwillig tragen. Bei keiner Gelegenheit. Zu keinem Zeitpunkt…"
81,"@Bw_Einsatz Heute Bundeswehr, früher Wehrmacht. Wie sich die Bilder erschreckend gleichen.... https://t.co/Fn5YGhtPeZ"
82,Aufgrund von #Unwetter wird heute (20.02.) ab 19 Uhr der Zugverkehr bei der #Westfrankenbahn auf allen Strecken komplett eingestellt. Wiederaufnahme des Zugverkehrs ab ca. 9 Uhr des Folgetags (21.02.). Danach sind noch mit Verspätungen und Teilausfällen zu rechnen. Update folgt.
83,"RT @nenacasc: Wenn die Maskenpflicht einmal fällt, werde ich die Maske NICHT freiwillig tragen. Bei keiner Gelegenheit. Zu keinem Zeitpunkt…"
84,@mamahasi1 Darf ich mich anschließen? Mein Kater hat mich heute angepinkelt.😂
85,"Am #Mittelmeer gelegen birgt die andalusische Provinz #Almeria viele Geheimnisse, die es wert sind, entdeckt zu werden. ♥ Kennst du zum Beispiel diese vier, die wir dir heute zeigen? 

👉 https://t.co/haIuIGOxPO

#YouDeserveSpain #VisitSpain @Costa_Almeria @deinAndalusien https://t.co/Myr9OvMyza"
86,"RT @TeamD: +++ VERLOSUNG +++

🔥 Sichert euch heute zwei Tickets für das Team D @europa_park-Event und trefft eure großen Sportidole der Oly…"
87,"RT @niklasneo: Heute Borussen-Derby.
Mein BVB kann nur als Sieger hervorgehen.
Entweder wir holen die 3 Punkte, oder wir werden sehen, welc…"
88,BENSEBAINI MACH WEITER SO. DORTMUNDS BESTER MANN HEUTE !  #BVBBMG
89,@Maulewurfn Linda gegen Eric habe heute gelesen 😅
90,"Etwa 1000 Menschen sind heute bei denkbar schlechtem Wetter in Prenzlauer Berg auf die Straße gegangen, um Solidarität mit der 17-Jährigen Dilan auszudrücken, die vor zwei Wochen am S-Bahnhof Greifswalder Straße rassistisch angegriffen wurde. Dilan Sözeri selbst hielt eine Rede. https://t.co/ivPqxXkerh"
91,"RT @_luviana: ⭕️JETZT LIVE ⭕️
starten werden wir heute mit #JustChatting und danach mal schauen :)

#TwitchDE #twitchgirl #gaming #twelvemi…"
92,"RT @AkitaDeCapulet: Ahoi Freunde, um 19 Uhr geht es weiter mit #residentevil5. Mal gucken ob es heute mit der actiongeladenen verwirrtheit…"
93,"RT @zremilein: So, was hören wir denn heute???
Ich habe nix anzuhören 😂 https://t.co/3hGeM7M3YP"
94,RT @AmadeuAntonio: Rechtsextreme Positionen und Ideologien finden sich heute in nahezu allen Bereichen unserer Gesellschaft wieder. Die Bed…
95,"Das Spiel wurde heute von den beiden Torhütern entschieden. #Kobel hielt zweimal (glücklich), #Sommer zweimal unglücklich. #bvb #BVBBMG Das Ding ist durch."
96,Ian Derungs holt sich mit seinem Hattrick heute beim Spiel in Zug den HCT-Clubrekord!💪💪💪 https://t.co/dPFUgR5SDv
97,"RT @nenacasc: Wenn die Maskenpflicht einmal fällt, werde ich die Maske NICHT freiwillig tragen. Bei keiner Gelegenheit. Zu keinem Zeitpunkt…"
98,"Heute Nacht kam so 1 Horrorfilm, da konnte eine Mutter im Keller eines indischen Tempels durch eine Tür mit ihrem toten Sohn reden.
Und sowas geht hier auch, wenn z.B. der Heimatverein in der Feuerwehr tagt. Und auch da sollte man die Tür lieber zu lassen sonst wird's spooky"
99,@AK_Meier @Ro16956046 @rv_enigma @TaP_Theorie @MikeDeeeeeee @icestormfr @ChristophMontag @lovelyropes @jh82331106 @FrauStahlhut Lesen sie nochmal genau 😄 es  sind HEUTE 4 eingeliefert worden. Da hat kein Mensch schon einen PCR geschweige denn sequenziert
100,"qurantäne tag 2: kein schlaf heute, aber morgen keine schule let‘s goo 🙌"
101,Hab heute Trainspotting geguckt and I loved it 👀 https://t.co/2fYbNj7Bsg
102,"Bis Heute hat die USA keinen einzigen Beweis für ihre Behauptungen, geheimdienstlichen Erkenntnisse oder Anschuldigungen gegen Russland &amp; einer Invasion vorgelegt. Erinnert stark an den Irak Krieg. Damals war die Strategie ebenso: Viele Anschuldigungen &amp; keine Beweise. https://t.co/C0F5Hj0lNf"
103,Québec heute Abend https://t.co/IzO8qNJ5do
104,RT @BeckerLale: Was war das für eine schwere Geburt heute. Aber wie heißt es gewonnen ist gewonnen. ❤⚽️
105,"RT @Marianne_Max_: „Heute vor zwei Jahren wurden in Hanau neun Menschen von einem Rassisten ermordet.“ - fixed that for you @OlafScholz 
#h…"
106,"Und Dortmund so zu Gladbach: ""Wolle Rose kaufe?""

Hatten wir den heute schon?
Schon, oder?

 #BVBBMG"
107,"@CLeiserfluss @SHomburg "".... Denn wir haben wahrlich keinen Rechtsanspruch auf Demokratie und soziale Marktwirtschaft auf alle Ewigkeit.""
Quelle: Merkels Rede am 16.06.2005 zum 60-jährigen Bestehen der CDU

""Politik ohne Angst, Politik mit Mut - das ist heute erneut gefragt. Denn wir haben 👇"
108,"RT @Saproling84: Letzter Aufruf ☺️ Keine Ahnung, ob der Algorithmus diesen Retweet noch jemandem in die TL spült 😅 Mein „großes“ #brotpapie…"
109,"Ich suche noch einen guten Twitch User der sich mit den ganzen Bots auskennt die im Stream Chat immer erscheinen, heute ist es extrem zum Beispiel. Es wurde mir schon reichen wenn diese Person ab und an vorbei schaut und alle unnötigen Bot User weg Bannt. Oder mir ne Liste... 1/2"
110,RT @kriegistkacke: 800 Antifaschist*innen haben sich heute in #Braunschweig solidarisch gezeigt mit den Betroffenen der Hausdurchsuchungen.…
111,"RT @AkitaDeCapulet: Ahoi Freunde, um 19 Uhr geht es weiter mit #residentevil5. Mal gucken ob es heute mit der actiongeladenen verwirrtheit…"
112,"RT @AntjeRuhland: Heute vor 35 Jahren hab ich mir selbst das schönste Geschenk gemacht, ich hab meine Tochter geboren. Mit 20 Jahren hatte…"
113,"@ThielsChristian @GermanyNATO Heute Bundeswehr, früher Wehrmacht. Wie sich die Bilder erschreckend gleichen.... https://t.co/eQjOzGjWHH"
114,"RT @AkitaDeCapulet: Ahoi Freunde, um 19 Uhr geht es weiter mit #residentevil5. Mal gucken ob es heute mit der actiongeladenen verwirrtheit…"
115,"RT @martel_afd: Alles Gute unserem Ehrenvorsitzenden Dr. Alexander #Gauland zum 81. Geburtstag!
Bis heute der einzige ehemalige #AfD-Vorsit…"
116,"RT @Mses_B: Ich wollte heute das Bad putzen und die Küche aufräumen. 

Bin nun bei Staffel 2 Folge 5."
117,"Ahoi Freunde, um 19 Uhr geht es weiter mit #residentevil5. Mal gucken ob es heute mit der actiongeladenen verwirrtheit weiter geht 😵‍💫 ich freue mich auf euch 😘
💜 https://t.co/LQIuiK6PRv 💜

#TwitchDE #twitchgermany #twitchdeutschland #HorrorGames #GermanMediaRT #residentevil https://t.co/sgsXulpoqo"
118,"RT @nenacasc: Wenn die Maskenpflicht einmal fällt, werde ich die Maske NICHT freiwillig tragen. Bei keiner Gelegenheit. Zu keinem Zeitpunkt…"
119,"Heute rasieren sie Gladbach und am Donnerstag verkacken sie wieder gegen die Rangers

#BVBBMG"
120,"RT @Nightmare_Keks: Parteimitglieder und Partei Wähler*innen die bei den Corona ""Protesten"" omnipräsent sind

Früher nannte man das noch ei…"
121,"@MarcelAnxiouus Ok und ich weiß, werde heute mit demon slayer erstmal anfangen und das der erste anime den ich allein seit November anfange haha"
122,JAAAAAAAA! Was ein Konter! Und diesmal auch vorne Glück! Malen macht ein Riesen spiel heute!
