,Tweet_lemmatized
0,mal Frage heute Ruhe Sturm
1,unterwegs gut Blockchainopfer schon werden schnell klären haben ja heute morgen gut erklären soweit Thema Space
2,heute Grundrecht Tag Haft dürfen Vergessenheit geraten freegrundrecht ll Corona
3,laufen heute Bvb
4,Bock heute Bvbbmg
5,Ardsonntagskrimi Schnellcheck Dortmundtatort Punkt ja toll via
6,heute viele Stadt Insta Anfrage schicken machen bissch Angst
7,Schleicher linker eindeutig autoritär werden früh Notstandsgesetze demonstrieren heute billig
8,normalerweise mögen ganz gerne heute haben Liebe Ton ausschalten
9,Gio süß Maus Wein Haar sehen heute gut
10,Berlin etwa Mensch heute denkbar schlecht Wetter Prenzlauer Berg Straße gehen Solidarität
11,Experiment geben heute chemisch Doll natürlich spielen Wasser Rolle
12,lieber Kollege haben haben viele Leben retten heute Twitter leuchten bald unser M
13,heute laufen ja richtig Meinvfl Dortmund gut
14,Lacevic heute international Tag Sozialegerechtigkeit möchten Aufmerksamkeit deshalb heute d mangelnd
15,Luviana live starten heute Justchatting danach mal schauen Twitchde Twitchgirl Gaming Twelvemi
16,Luviana live starten heute Justchatting danach mal schauen Twitchde Twitchgirl Gaming Twelvemi
17,Lacevic heute international Tag Sozialegerechtigkeit möchten Aufmerksamkeit deshalb heute d mangelnd
18,Meisel glauben Opfer heute linker Bein wenigstens Endprodukt Kacke
19,Afd gut Ehrenvorsitzend dr Alexander Gauland Geburtstag heute einzig ehemalig Afdvorsit
20,ja übrigens Fußballmaskottchenhund Tor bekommen immer Leckerchen heute läufts ganz gut
21,b heute Bad putzen Küche aufräumen staffeln Folge
22,E einerseits Frauenname andererseits spät A bereits vergeben Trift heute Nacht b Beatrix Mw frei
23,Polizeiverordnung September lassen jüdisch Mensch Wahl wer Davidstern frei Stück heute
24,Hinweis Youtube stehen beginnen ignorieren beginnen Uhr ab morgen können Album kostenlos freiwillig Betrag Homepage Downloaden hoffen sein heute dabei freuen riesig
25,heute spielen eigentlich Bild ausliegen jung leider schnell wegräumen knapp Frau Punkt vorbei ziehen Pkt Sohnemann
26,Lauterbach danken Tweet heute morgen lesen Studium ganz wichtig Harvard besagen Ba mild Panikmodus unbegründet sollen nächster Mutation warten Maßnahme Aufheben lange brauchen
27,Direktlink Präsentation neu Album wer Konzertlänge Beginn heute Uhr Premier gehen Uhr Livechat Album beinhalten politisch gesellschaftlich persönlich Thema
28,Teil Team d werden heute Frankfurter Flughafen empfangen Biathlondelegation kommen golddenise zurück Deutschland Sportnews
29,heute Radtour viele umgekippt Baum sehen Los viele Querdenker Aggression unterwegs
30,heute Tag Pandemie kennen immer Coronatoten
31,Warschau unweit jüdisch Ghetto polnisch Prostituierte geheim deutsch Agent ermordet jung Offizier Ermitteln historisch Psychokrimi Dienachtdergenerale heute Tvtipp
32,heute Dortmund Adi h
33,vielleicht weltumfassend Schwesterlichkeit notwendig Ehe brüderlich Verständigung gesamt Menschheit mö
34,Schleicher linker eindeutig autoritär werden früh Notstandsgesetze demonstrieren heute billig
35,Friedrichmerz Behauptung schon heute sein erneuerbar billig Energiequelle halten Überprüfung n
36,müssen heute nüchtern feststellen China Russland lingen Teil politisch Klasse Kor
37,Maskenpflicht fallen Maske freiwillig tragen Gelegenheit Zeitpunkt
38,Twice morgen holen bringen heute
39,schwören sehen heute blau vorbeifliegen Spur verlieren Richtung Thüringen Sachsen
40,Maskenpflicht fallen Maske freiwillig tragen Gelegenheit Zeitpunkt
41,heute Sturmwetter
42,Idee wer privat Auto abschaffen Jahr autofrei bleiben bekommen Euro geben Verschrottung
43,heute abend ab Uhr live Starcitizen unterwegs schauen Lorville stellen De
44,Gio süß Maus Wein Haar sehen heute gut
45,nachdem Cop Flensburg gestern schon angemeldet Sponti Hanau zugunsten rechter Spaziergängerinnen w
46,Marco Reus heute stehend gefährlich deutsch Biathleten Peking Bvbbmg
47,spät dran heute gleich gehen Stream Los
48,heute Who Says no
49,heute deutlich Bvbbmg immer eigentlich
50,heute Assange seit unglaublich Tag Haft britisch guantanamo Belmarsh seit fast Jahr
51,Maskenpflicht fallen Maske freiwillig tragen Gelegenheit Zeitpunkt
52,Wordle Wördl laufen heute ja super
53,Mangott gestern schon Sekretär belarussisch Sicherheitsrat erklären heute Verteidigungsminister Di
54,Maskenpflicht fallen Maske freiwillig tragen Gelegenheit Zeitpunkt
55,seit Preußen Zeit deutschrussisch Sonderbeziehung Hypothek Europa heute Rus
56,schon gehören Monat Impfung Biontech Moderna immer ordentlich Zulassung Essenzielle Studium fehlen heute Mrnaimpfstoffe ausreichend Erforscht Standard ordentlich Zulassung Eu Behörde Ema erfüllen
57,Maskenpflicht fallen Maske freiwillig tragen Gelegenheit Zeitpunkt
58,heute Assange seit unglaublich Tag Haft britisch guantanamo Belmarsh seit fast Jahr
59,Eu Beschwichtigungspolitik verraten immer aufs neu Wunsch Iranvolkes Regimeswechsel
60,heute Nacht träumen Deutschunterricht Mdma Raf Bonez analysieren auslachen werden Hook mehr einfallen
61,neu Match Wxwnow Amp Friends Showcase zusätzlich bereits angekündigt match
62,Einstellung stimmen heute
63,früh fragen gehts heute fragen impfen fragen ganz d
64,vergessen Impregnierspray heute deshalb mal
65,Mal Reus heute Masterclass Heja Bvbbmg
66,Afd gut Ehrenvorsitzend dr Alexander Gauland Geburtstag heute einzig ehemalig Afdvorsit
67,Illertissen Ca freiheitsliebend Mensch gehen heute Straßedank Impfpflichtab Lauterbachru
68,Maskenpflicht fallen Maske freiwillig tragen Gelegenheit Zeitpunkt
69,heute morgen twittert Kommunikation Gesundheitsminister Politik Publikation Publikation gestalten
70,Schleicher linker eindeutig autoritär werden früh Notstandsgesetze demonstrieren heute billig
71,regen Geschichte wiederholt früh werden Frau diskriminieren Mann bevorzugen heute Tran Frau diskriminieren Tran Mann bevorzugen wieso können Mann Tran Mann Feier Frau Tran Frau
72,Demonstrant deutsch Stadt Neustadt stehen Schweigend spielen heute abend kanadisch Nationalhymne fü
73,schlecht Mann heute Kommentator betz Fck Svwfck
74,mal Vergleich Bad Neighbors heute Puls Amp App Primetime Memes m fun
75,schön Bild heute Dortmund
76,vergessen ganz Zeit heute abend spielen ja Internet Leute Omg Geil
77,heute ne stürmisch Nacht Antonia
